audit_id,gold_label,gold_label_name,augmented_field,original_premise,original_hypothesis,augmented_premise,augmented_hypothesis,original_sentence,back_translated_sentence,review_semantic_equivalent,review_label_preserved,review_useful_augmentation,review_severity,review_error_types,review_notes
A0107,0,entailment,premise,A group of children wearing colorful hats are smiling at the camera.,Some children are getting their picture taken.,A group of kids wearing colorful hats smiles at the camera.,Some children are getting their picture taken.,A group of children wearing colorful hats are smiling at the camera.,A group of kids wearing colorful hats smiles at the camera.,,,,,,
A0108,2,contradiction,premise,an asian girl looking surprised in front of a brick window,There is an arabian man looking surprised.,an Asian girl who looks surprised at a brick window,There is an arabian man looking surprised.,an asian girl looking surprised in front of a brick window,an Asian girl who looks surprised at a brick window,,,,,,
A0109,0,entailment,hypothesis,A woman in a red dress and a man in a white suite are engaging in a ballet performance on a purple lit stage.,A man and woman are dancing.,A woman in a red dress and a man in a white suite are engaging in a ballet performance on a purple lit stage.,A man and a woman are dancing.,A man and woman are dancing.,A man and a woman are dancing.,,,,,,
A0110,1,neutral,hypothesis,A dad is entertaining his family by playing the guitar.,The dad plays country music under the starry night.,A dad is entertaining his family by playing the guitar.,Dad plays country music under the stars.,The dad plays country music under the starry night.,Dad plays country music under the stars.,,,,,,
A0111,1,neutral,hypothesis,A person in a red shirt doing tricks on a bicycle.,A person is competing in a bmx competition.,A person in a red shirt doing tricks on a bicycle.,A person participates in a bmx competition.,A person is competing in a bmx competition.,A person participates in a bmx competition.,,,,,,
A0112,0,entailment,hypothesis,Two people walk in opposite directions across a brick road.,The road was made with bricks.,Two people walk in opposite directions across a brick road.,The road was made of bricks.,The road was made with bricks.,The road was made of bricks.,,,,,,
A0113,1,neutral,premise,"two kids, one with green pants and the other with a white shirt and jeans are running down a street.",There are children running after someone outside.,"Two children, one in green pants and the other in a white shirt and jeans, are running down the street.",There are children running after someone outside.,"two kids, one with green pants and the other with a white shirt and jeans are running down a street.","Two children, one in green pants and the other in a white shirt and jeans, are running down the street.",,,,,,
A0114,2,contradiction,hypothesis,Two young men are leaping exuberantly on an outdoor plaza.,The two men have just been stuck in concrete boots and are drowning in the Hudson River.,Two young men are leaping exuberantly on an outdoor plaza.,Both men are trapped in concrete boots and drowned in the Hudson River.,The two men have just been stuck in concrete boots and are drowning in the Hudson River.,Both men are trapped in concrete boots and drowned in the Hudson River.,,,,,,
A0115,0,entailment,hypothesis,"A woman sitting at a desk labeled Programmes and Ice Cream, the stand appears to be out of ice cream.","A female is sitting at a table with two labels, and item described in one of the labels is not at the table.","A woman sitting at a desk labeled Programmes and Ice Cream, the stand appears to be out of ice cream.","A female is sitting at a table with two labels, and the object described on one of the labels is not at the table.","A female is sitting at a table with two labels, and item described in one of the labels is not at the table.","A female is sitting at a table with two labels, and the object described on one of the labels is not at the table.",,,,,,
A0116,2,contradiction,hypothesis,A dog walking through the water at the ocean.,A cat walking through the water at the ocean.,A dog walking through the water at the ocean.,A cat walking in the water in the ocean.,A cat walking through the water at the ocean.,A cat walking in the water in the ocean.,,,,,,
A0117,1,neutral,premise,A child shows other kids his still packaged toy.,A child has a Buzz Lightyear doll.,A child shows other children his toy still packed.,A child has a Buzz Lightyear doll.,A child shows other kids his still packaged toy.,A child shows other children his toy still packed.,,,,,,
A0118,0,entailment,hypothesis,A man stands by a building playing a wooden electric guitar.,A man is standing.,A man stands by a building playing a wooden electric guitar.,There's a man standing.,A man is standing.,There's a man standing.,,,,,,
A0119,0,entailment,premise,A man in a blue shirt playing the drums and singing.,A man is playing drums and singing at the same time.,A man in a blue shirt playing drums and singing.,A man is playing drums and singing at the same time.,A man in a blue shirt playing the drums and singing.,A man in a blue shirt playing drums and singing.,,,,,,
A0120,0,entailment,premise,three people standing in line.,Some people are standing.,Three people in line.,Some people are standing.,three people standing in line.,Three people in line.,,,,,,
A0121,2,contradiction,premise,A person in a dark wetsuit is surfing.,A person in a white wetsuit surfing,A person in a black suit surfing.,A person in a white wetsuit surfing,A person in a dark wetsuit is surfing.,A person in a black suit surfing.,,,,,,
A0122,0,entailment,hypothesis,A runner is leaping over hurdles.,a runner leaps,A runner is leaping over hurdles.,a runner jumps,a runner leaps,a runner jumps,,,,,,
A0123,1,neutral,hypothesis,A child shows other kids his still packaged toy.,A child has a Buzz Lightyear doll.,A child shows other kids his still packaged toy.,A kid has a Buzz Lightyear doll.,A child has a Buzz Lightyear doll.,A kid has a Buzz Lightyear doll.,,,,,,
A0124,0,entailment,hypothesis,A man tends to his laptop in what appears to be a slideshow of sorts.,A man runs a slideshow.,A man tends to his laptop in what appears to be a slideshow of sorts.,There's a man running a slide show.,A man runs a slideshow.,There's a man running a slide show.,,,,,,
A0125,1,neutral,premise,A little girl smiling and holding a small object.,A girl is proud of her object.,A little girl smiling and holding a little object.,A girl is proud of her object.,A little girl smiling and holding a small object.,A little girl smiling and holding a little object.,,,,,,
A0126,2,contradiction,premise,Blond child in red shirt standing on a plastic wreathed Christmas sleigh.,Child wearing nothing at all standing on a sleigh.,A blonde child in a red shirt standing on a crowned plastic Christmas sled.,Child wearing nothing at all standing on a sleigh.,Blond child in red shirt standing on a plastic wreathed Christmas sleigh.,A blonde child in a red shirt standing on a crowned plastic Christmas sled.,,,,,,
A0127,2,contradiction,hypothesis,"A man riding a four-wheel ATV in the dessert, kicking up sand in his wake.",The man is riding his atv on the city road.,"A man riding a four-wheel ATV in the dessert, kicking up sand in his wake.",The man is driving his ATV on the city road.,The man is riding his atv on the city road.,The man is driving his ATV on the city road.,,,,,,
A0128,0,entailment,hypothesis,"Several people sitting, relaxing in the snow.",The people are outdoors.,"Several people sitting, relaxing in the snow.",People are out there.,The people are outdoors.,People are out there.,,,,,,
A0129,0,entailment,hypothesis,"A security guard stands by a metal, lighted sculpture.",A person guards a sculpture.,"A security guard stands by a metal, lighted sculpture.",A person keeps a sculpture.,A person guards a sculpture.,A person keeps a sculpture.,,,,,,
A0130,2,contradiction,hypothesis,a woman holding a small ball chasing after a small boy.,The woman is sleeping in bed.,a woman holding a small ball chasing after a small boy.,The woman is sleeping in the bed.,The woman is sleeping in bed.,The woman is sleeping in the bed.,,,,,,
A0131,1,neutral,premise,Three guys riding on an elephant with a house-like structures and trees in the background.,The elephants sometimes fight their trainers.,Three guys riding an elephant with structures like a house and trees in the background.,The elephants sometimes fight their trainers.,Three guys riding on an elephant with a house-like structures and trees in the background.,Three guys riding an elephant with structures like a house and trees in the background.,,,,,,
A0132,0,entailment,premise,A multicolor cat fighting with a black and brown dog in a red collar.,A cat and dog are fighting.,A multicolored cat is fighting a black and brown dog with a red collar.,A cat and dog are fighting.,A multicolor cat fighting with a black and brown dog in a red collar.,A multicolored cat is fighting a black and brown dog with a red collar.,,,,,,
A0133,2,contradiction,premise,A woman wearing a black stands in front of a counter while she holds a piece of meat.,The woman is naked while holding a salad.,A woman in black is standing in front of a counter holding a piece of meat.,The woman is naked while holding a salad.,A woman wearing a black stands in front of a counter while she holds a piece of meat.,A woman in black is standing in front of a counter holding a piece of meat.,,,,,,
A0134,0,entailment,hypothesis,A single man sits on the ground with a cup in front of him.,The man is all alone on the ground.,A single man sits on the ground with a cup in front of him.,The man is alone on the floor.,The man is all alone on the ground.,The man is alone on the floor.,,,,,,
A0135,0,entailment,premise,A woman in a red dress and a man in a white suite are engaging in a ballet performance on a purple lit stage.,A man and woman are dancing.,A woman in a red dress and a man in a white suite perform a ballet on a purple-lit stage.,A man and woman are dancing.,A woman in a red dress and a man in a white suite are engaging in a ballet performance on a purple lit stage.,A woman in a red dress and a man in a white suite perform a ballet on a purple-lit stage.,,,,,,
A0136,2,contradiction,hypothesis,A baby that is smiling big.,A kid is crying.,A baby that is smiling big.,A child is crying.,A kid is crying.,A child is crying.,,,,,,
A0137,2,contradiction,hypothesis,A man and woman reenact a scene of a statue.,A man and woman eat at a restaurant.,A man and woman reenact a scene of a statue.,A man and a woman are eating in a restaurant.,A man and woman eat at a restaurant.,A man and a woman are eating in a restaurant.,,,,,,
A0138,1,neutral,hypothesis,A blond singer is performing as people dance behind her.,Gwen Stefani sings while fans dance.,A blond singer is performing as people dance behind her.,Gwen Stefani sings while the fans dance.,Gwen Stefani sings while fans dance.,Gwen Stefani sings while the fans dance.,,,,,,
A0139,1,neutral,premise,Two young girls have fun in an ice skating rink.,The girls are wearing tights.,Two young girls are having fun in a skating rink.,The girls are wearing tights.,Two young girls have fun in an ice skating rink.,Two young girls are having fun in a skating rink.,,,,,,
A0140,0,entailment,hypothesis,There is a child wearing an orange shirt and hold an orange book.,There is a child wearing a shirt and holding a book.,There is a child wearing an orange shirt and hold an orange book.,There's a kid wearing a shirt and holding a book.,There is a child wearing a shirt and holding a book.,There's a kid wearing a shirt and holding a book.,,,,,,
A0141,0,entailment,hypothesis,group of people by the ocean holding a net,A group of people are near the ocean.,group of people by the ocean holding a net,There's a group of people near the ocean.,A group of people are near the ocean.,There's a group of people near the ocean.,,,,,,
A0142,2,contradiction,premise,A group of surgeons wearing scrubs are performing a surgery.,The group of surgeons are having a board meeting.,A group of surgeons wearing scrubs perform an operation.,The group of surgeons are having a board meeting.,A group of surgeons wearing scrubs are performing a surgery.,A group of surgeons wearing scrubs perform an operation.,,,,,,
A0143,0,entailment,hypothesis,Men wearing black and white striped shirts and red scarves carry a shrine on their shoulders.,Men are carrying a shrine on their shoulders.,Men wearing black and white striped shirts and red scarves carry a shrine on their shoulders.,Men carry a sanctuary on their shoulders.,Men are carrying a shrine on their shoulders.,Men carry a sanctuary on their shoulders.,,,,,,
A0144,0,entailment,hypothesis,Two women walking toward the camera along a sidewalk while wearing a backpack and showing midriff.,There are clothes on the women.,Two women walking toward the camera along a sidewalk while wearing a backpack and showing midriff.,There's clothes on women.,There are clothes on the women.,There's clothes on women.,,,,,,
A0145,1,neutral,premise,"A man with blond-hair, and a brown shirt drinking out of a public water fountain.",A blond man getting a drink of water from a fountain in the park.,A man with blond hair and a brown shirt drinking from a public water fountain.,A blond man getting a drink of water from a fountain in the park.,"A man with blond-hair, and a brown shirt drinking out of a public water fountain.",A man with blond hair and a brown shirt drinking from a public water fountain.,,,,,,
A0146,1,neutral,premise,A man standing next to a women's restroom in an orange shirt.,The man's wife is in the restroom.,A man standing next to a women's bathroom in an orange shirt.,The man's wife is in the restroom.,A man standing next to a women's restroom in an orange shirt.,A man standing next to a women's bathroom in an orange shirt.,,,,,,
A0147,0,entailment,hypothesis,A young lady is being videotaped while she's sitting in her stroller in front of a Sysco truck on the sidewalk.,a young woman is being filmed while she sits in her stroller on the sidewalk in front of a truck,A young lady is being videotaped while she's sitting in her stroller in front of a Sysco truck on the sidewalk.,A young woman is filmed sitting in her stroller on the sidewalk in front of a truck,a young woman is being filmed while she sits in her stroller on the sidewalk in front of a truck,A young woman is filmed sitting in her stroller on the sidewalk in front of a truck,,,,,,
A0148,0,entailment,hypothesis,"A man taking a photograph, holding a postcard",There is a man holding a post card.,"A man taking a photograph, holding a postcard",There's a man holding a postcard.,There is a man holding a post card.,There's a man holding a postcard.,,,,,,
A0149,2,contradiction,premise,A man wearing blue jeans is standing outside carrying a wide assortment of items and has a large dish on his head.,The man is walking a tight rope between two sky scrapers.,A man standing outside in blue jeans wearing a wide variety of items and a large plate on his head.,The man is walking a tight rope between two sky scrapers.,A man wearing blue jeans is standing outside carrying a wide assortment of items and has a large dish on his head.,A man standing outside in blue jeans wearing a wide variety of items and a large plate on his head.,,,,,,
A0150,2,contradiction,premise,Factory workers standing in uniform next to their product.,The factory workers are sitting.,The factory workers standing in uniform next to their produce.,The factory workers are sitting.,Factory workers standing in uniform next to their product.,The factory workers standing in uniform next to their produce.,,,,,,
A0151,0,entailment,premise,A young male holding a fishing pole.,A man carries his fishing rod.,A young male holding a fishing rod.,A man carries his fishing rod.,A young male holding a fishing pole.,A young male holding a fishing rod.,,,,,,
A0152,1,neutral,premise,A group of ladies with computers sit behind a table while people on the other side purchase something.,People are purchasing necessary items.,A group of ladies with computers are sitting behind a table while the people on the other side are buying something.,People are purchasing necessary items.,A group of ladies with computers sit behind a table while people on the other side purchase something.,A group of ladies with computers are sitting behind a table while the people on the other side are buying something.,,,,,,
A0153,2,contradiction,hypothesis,Yellow dog catches ball in shallow waters.,Dog sleeping,Yellow dog catches ball in shallow waters.,Dogs are sleeping,Dog sleeping,Dogs are sleeping,,,,,,
A0154,1,neutral,premise,A skateboarder makes a jump while someone films it.,The skateboarder landed the jump perfectly.,A skateboarder makes a jump while someone else is filming him.,The skateboarder landed the jump perfectly.,A skateboarder makes a jump while someone films it.,A skateboarder makes a jump while someone else is filming him.,,,,,,
A0155,2,contradiction,hypothesis,People walking past a fashion shops.,People are eating in a restaurant,People walking past a fashion shops.,People eat in a restaurant.,People are eating in a restaurant,People eat in a restaurant.,,,,,,
A0156,2,contradiction,hypothesis,Three Asian women having a conversation.,Three white men are talking to each other.,Three Asian women having a conversation.,Three white men talking to each other.,Three white men are talking to each other.,Three white men talking to each other.,,,,,,
A0157,2,contradiction,premise,A man and a woman are sleeping on a mode of public transportation.,Everyone is awake riding the bus.,A man and a woman are sleeping on a public transport.,Everyone is awake riding the bus.,A man and a woman are sleeping on a mode of public transportation.,A man and a woman are sleeping on a public transport.,,,,,,
A0158,0,entailment,premise,There is a man and a woman sitting on lawn chairs next to a skate park with a group of guys on bicycles in the background and a woman with a child in a stroller on the side of the picture.,A group of people outdoors.,There's a man and a woman sitting on lawn chairs next to a skate park with a group of guys riding a bike in the background and a woman with a child in a stroller on the side of the photo.,A group of people outdoors.,There is a man and a woman sitting on lawn chairs next to a skate park with a group of guys on bicycles in the background and a woman with a child in a stroller on the side of the picture.,There's a man and a woman sitting on lawn chairs next to a skate park with a group of guys riding a bike in the background and a woman with a child in a stroller on the side of the photo.,,,,,,
A0159,1,neutral,hypothesis,Two female rollerskaters competing.,The women are great skaters.,Two female rollerskaters competing.,Women are great skaters.,The women are great skaters.,Women are great skaters.,,,,,,
A0160,1,neutral,hypothesis,Two young boys wearing collared shirts and baseball caps have their blue-tinted tongues stuck out.,A couple of young baseball players at a park.,Two young boys wearing collared shirts and baseball caps have their blue-tinted tongues stuck out.,A couple of young baseball players in a park.,A couple of young baseball players at a park.,A couple of young baseball players in a park.,,,,,,
A0161,1,neutral,hypothesis,A gentleman in jeans and a black sweatshirt is excitedly speaking on a cellphone.,A man talking with his wife on the phone.,A gentleman in jeans and a black sweatshirt is excitedly speaking on a cellphone.,A man talking to his wife on the phone.,A man talking with his wife on the phone.,A man talking to his wife on the phone.,,,,,,
A0162,2,contradiction,premise,A woman talks on a cellphone on an Asian market street.,A woman is sleeping.,A woman is talking on her cell phone on a street in the Asian market.,A woman is sleeping.,A woman talks on a cellphone on an Asian market street.,A woman is talking on her cell phone on a street in the Asian market.,,,,,,
A0163,1,neutral,premise,A man in a unique costume is playing the bagpipes while some people stare at him.,A man in a unique costume is playing the bagpipes  for monetary gain.,A man in a unique suit plays a pipe while people watch him.,A man in a unique costume is playing the bagpipes  for monetary gain.,A man in a unique costume is playing the bagpipes while some people stare at him.,A man in a unique suit plays a pipe while people watch him.,,,,,,
A0164,1,neutral,hypothesis,a woman is walking beside a subway.,The woman is in a rush.,a woman is walking beside a subway.,The woman's in a hurry.,The woman is in a rush.,The woman's in a hurry.,,,,,,
A0165,2,contradiction,premise,Two white dogs play together on a slightly snowy patch of green grass.,dog chasing man on snow,Two white dogs playing together on a slightly snowy field of green grass.,dog chasing man on snow,Two white dogs play together on a slightly snowy patch of green grass.,Two white dogs playing together on a slightly snowy field of green grass.,,,,,,
A0166,1,neutral,hypothesis,Four band members singing and playing.,They play a gig at a bar,Four band members singing and playing.,They're playing a concert in a bar.,They play a gig at a bar,They're playing a concert in a bar.,,,,,,
A0167,1,neutral,premise,The woman talks on her cellular phone while walking on a city street.,The streets are crowded.,The woman is talking on her cell phone as she walks down a street in the city.,The streets are crowded.,The woman talks on her cellular phone while walking on a city street.,The woman is talking on her cell phone as she walks down a street in the city.,,,,,,
A0168,1,neutral,hypothesis,A young girl holds a crying infant.,A blonde girl holds her baby sister.,A young girl holds a crying infant.,A blonde is holding her little sister.,A blonde girl holds her baby sister.,A blonde is holding her little sister.,,,,,,
A0169,1,neutral,hypothesis,A street vendor is sitting on the ground in front of the shirts he is selling.,The street vendor looks tired.,A street vendor is sitting on the ground in front of the shirts he is selling.,The street vendor seems tired.,The street vendor looks tired.,The street vendor seems tired.,,,,,,
A0170,0,entailment,premise,A group of well-dressed young people stand in front of a congregation.,There are several people in the room.,A group of well-dressed youths are standing in front of a congregation.,There are several people in the room.,A group of well-dressed young people stand in front of a congregation.,A group of well-dressed youths are standing in front of a congregation.,,,,,,
A0171,1,neutral,premise,A boy in a swimsuit sitting on top of a circular fountain.,A funny person sitting,A boy in a swimsuit sitting on a circular fountain.,A funny person sitting,A boy in a swimsuit sitting on top of a circular fountain.,A boy in a swimsuit sitting on a circular fountain.,,,,,,
A0172,0,entailment,premise,An Asian man makes calligraphy on a green table with newspaper on it.,A man is drawing.,An Asian guy is doing calligraphy on a green table with a newspaper on it.,A man is drawing.,An Asian man makes calligraphy on a green table with newspaper on it.,An Asian guy is doing calligraphy on a green table with a newspaper on it.,,,,,,
A0173,2,contradiction,premise,A man dressed in a green jacket is playing piano while a woman sings.,A man is burning a piano.,A man in a green jacket plays piano while a woman sings.,A man is burning a piano.,A man dressed in a green jacket is playing piano while a woman sings.,A man in a green jacket plays piano while a woman sings.,,,,,,
A0174,0,entailment,premise,This African-American man is talking on the phone.,A man is communicating,This African-American man is on the phone.,A man is communicating,This African-American man is talking on the phone.,This African-American man is on the phone.,,,,,,
A0175,0,entailment,hypothesis,Two kids in a green tree.,The kids are above the ground.,Two kids in a green tree.,The children are above the ground.,The kids are above the ground.,The children are above the ground.,,,,,,
A0176,0,entailment,premise,Two people walk in opposite directions across a brick road.,The road was made with bricks.,Two people are walking in opposite directions on a brick road.,The road was made with bricks.,Two people walk in opposite directions across a brick road.,Two people are walking in opposite directions on a brick road.,,,,,,
A0177,1,neutral,premise,Three men are standing next to each other wearing different colored shirts.,Three brothers wearing their favorite color shirt.,Three men standing next to each other in different-colored shirts.,Three brothers wearing their favorite color shirt.,Three men are standing next to each other wearing different colored shirts.,Three men standing next to each other in different-colored shirts.,,,,,,
A0178,1,neutral,hypothesis,A woman standing in front of a building as others go about their day.,I women waiting on friends outside a building.,A woman standing in front of a building as others go about their day.,I'm a woman waiting for friends outside a building.,I women waiting on friends outside a building.,I'm a woman waiting for friends outside a building.,,,,,,
A0179,1,neutral,hypothesis,Many birds are sitting on a concrete wall.,Many pigeons are sitting on a concrete wall.,Many birds are sitting on a concrete wall.,A lot of pigeons are sitting on a concrete wall.,Many pigeons are sitting on a concrete wall.,A lot of pigeons are sitting on a concrete wall.,,,,,,
A0180,1,neutral,premise,A football player lands on his head.,The football player damaged his neck.,A football player falls on his head.,The football player damaged his neck.,A football player lands on his head.,A football player falls on his head.,,,,,,
A0181,0,entailment,premise,"A woman and a man sit on a stone bench, with tall buildings behind them.",Two people sitting on a bench.,"A woman and a man are sitting on a rock bench, with tall buildings behind them.",Two people sitting on a bench.,"A woman and a man sit on a stone bench, with tall buildings behind them.","A woman and a man are sitting on a rock bench, with tall buildings behind them.",,,,,,
A0182,0,entailment,premise,A girl with red-hair is jumping on a sand dune.,A girl is outdoors.,A red-haired girl jumps on a sand dune.,A girl is outdoors.,A girl with red-hair is jumping on a sand dune.,A red-haired girl jumps on a sand dune.,,,,,,
A0183,1,neutral,hypothesis,A man in a unique costume is playing the bagpipes while some people stare at him.,A man in a unique costume is playing the bagpipes  for monetary gain.,A man in a unique costume is playing the bagpipes while some people stare at him.,A man in a unique suit plays the bagpipes to make money.,A man in a unique costume is playing the bagpipes  for monetary gain.,A man in a unique suit plays the bagpipes to make money.,,,,,,
A0184,2,contradiction,hypothesis,A golfer wearing a striped red polo shirt and white pants watches his drive after swinging.,The golfer is preparing food for dinner.,A golfer wearing a striped red polo shirt and white pants watches his drive after swinging.,The golfer prepares food for dinner.,The golfer is preparing food for dinner.,The golfer prepares food for dinner.,,,,,,
A0185,0,entailment,hypothesis,A brown dog carries a multiple colored toy in the grass.,A dog is carrying colored toys.,A brown dog carries a multiple colored toy in the grass.,A dog carries colorful toys.,A dog is carrying colored toys.,A dog carries colorful toys.,,,,,,
A0186,1,neutral,hypothesis,A young woman is stirring something in a pot while a young boy wearing a flowered apron stands by her.,They are making soup,A young woman is stirring something in a pot while a young boy wearing a flowered apron stands by her.,They make soup .,They are making soup,They make soup .,,,,,,
A0187,0,entailment,premise,A man with an olive green shirt and messy hair plays a colorful drum set.,A man plays the drums.,A man in an olive green shirt and disordered hair plays a set of colorful drums.,A man plays the drums.,A man with an olive green shirt and messy hair plays a colorful drum set.,A man in an olive green shirt and disordered hair plays a set of colorful drums.,,,,,,
A0188,0,entailment,hypothesis,"A person in a yellow hat, carrying a bag and a fishing pole, walks in a grassy area near a small body of water.","On the grass near the water, a person in a yellow hat walks carrying fishing gear.","A person in a yellow hat, carrying a bag and a fishing pole, walks in a grassy area near a small body of water.","On the grass by the water, a person in a yellow hat walks with fishing gear.","On the grass near the water, a person in a yellow hat walks carrying fishing gear.","On the grass by the water, a person in a yellow hat walks with fishing gear.",,,,,,
A0189,2,contradiction,premise,A black and white dog is jumping into the water.,A dog is sleeping in the owner's backyard.,A black and white dog jumps into the water.,A dog is sleeping in the owner's backyard.,A black and white dog is jumping into the water.,A black and white dog jumps into the water.,,,,,,
A0190,2,contradiction,hypothesis,"A little girl in a red shirt is suspended in midair on a contraption, as a man wearing white shorts looks up at her.",A man and girl are swimming in the ocean,"A little girl in a red shirt is suspended in midair on a contraption, as a man wearing white shorts looks up at her.",A man and a girl swimming in the ocean,A man and girl are swimming in the ocean,A man and a girl swimming in the ocean,,,,,,
A0191,2,contradiction,premise,They blow their trumpets.,The trumpeters are playing fiddles.,They're blowing their trumpets.,The trumpeters are playing fiddles.,They blow their trumpets.,They're blowing their trumpets.,,,,,,
A0192,0,entailment,premise,Men wearing black and white striped shirts and red scarves carry a shrine on their shoulders.,Men are carrying a shrine on their shoulders.,Men wearing black and white striped shirts and scarlet scarves were carrying a shrine on their shoulders.,Men are carrying a shrine on their shoulders.,Men wearing black and white striped shirts and red scarves carry a shrine on their shoulders.,Men wearing black and white striped shirts and scarlet scarves were carrying a shrine on their shoulders.,,,,,,
A0193,2,contradiction,premise,A sari-garbed woman is smiling at the camera.,The woman is yelling at the photographer.,A woman in sari smiles at the camera.,The woman is yelling at the photographer.,A sari-garbed woman is smiling at the camera.,A woman in sari smiles at the camera.,,,,,,
A0194,0,entailment,premise,A religious man in a robe is sitting in contemplation.,A man wearing a robe looks to be very religious,A religious man dressed in a robe is sitting contemplating.,A man wearing a robe looks to be very religious,A religious man in a robe is sitting in contemplation.,A religious man dressed in a robe is sitting contemplating.,,,,,,
A0195,1,neutral,premise,A girl in a floral bathing suit jumping on the beach in front of the waves.,A five year old girl is on vacation with her family.,A flowering swimsuit girl jumping on the beach in front of the waves.,A five year old girl is on vacation with her family.,A girl in a floral bathing suit jumping on the beach in front of the waves.,A flowering swimsuit girl jumping on the beach in front of the waves.,,,,,,
A0196,1,neutral,hypothesis,A boy is flying in midair while snowboarding in a hilly and wooded area.,the boy is competing in a snowboard competition,A boy is flying in midair while snowboarding in a hilly and wooded area.,the boy is in a snowboarding competition,the boy is competing in a snowboard competition,the boy is in a snowboarding competition,,,,,,
A0197,0,entailment,premise,"Two teams, one wearing blue and white, the other in red and white, are playing football.",There are people playing a game.,"Two teams, one in blue and white, the other in red and white, play football.",There are people playing a game.,"Two teams, one wearing blue and white, the other in red and white, are playing football.","Two teams, one in blue and white, the other in red and white, play football.",,,,,,
A0198,2,contradiction,hypothesis,"Two men are kayaking, one in front of the other.",The people are sitting on the beach.,"Two men are kayaking, one in front of the other.",People are sitting on the beach.,The people are sitting on the beach.,People are sitting on the beach.,,,,,,
A0199,0,entailment,premise,People in snowy climate prepare to eat food on plates.,People in a snow covered area preparing to eat a meal.,People in the snowy climate are getting ready to eat on plates.,People in a snow covered area preparing to eat a meal.,People in snowy climate prepare to eat food on plates.,People in the snowy climate are getting ready to eat on plates.,,,,,,
A0200,0,entailment,premise,A large brown dog is digging in the sand.,A dog is digging outside.,A big brown dog digging in the sand.,A dog is digging outside.,A large brown dog is digging in the sand.,A big brown dog digging in the sand.,,,,,,
A0201,2,contradiction,premise,A girl sitting in the back of a cart full of various belongings.,A boy carries his belongings in his arms.,A girl sitting in the back of a wagon full of various items.,A boy carries his belongings in his arms.,A girl sitting in the back of a cart full of various belongings.,A girl sitting in the back of a wagon full of various items.,,,,,,
A0202,1,neutral,hypothesis,A boy in a blue life jacket jumps into the water.,There is a boy jumping into the water to play.,A boy in a blue life jacket jumps into the water.,There's a boy who jumps into the water to play.,There is a boy jumping into the water to play.,There's a boy who jumps into the water to play.,,,,,,
A0203,0,entailment,hypothesis,A young male holding a fishing pole.,A man carries his fishing rod.,A young male holding a fishing pole.,A man is carrying his fishing rod.,A man carries his fishing rod.,A man is carrying his fishing rod.,,,,,,
A0204,0,entailment,hypothesis,"A group of people sit in folding chairs in a small area under two umbrellas outdoors, with a few cars parked in the background.",A group of people are sitting outdoors.,"A group of people sit in folding chairs in a small area under two umbrellas outdoors, with a few cars parked in the background.",There's a group of people sitting outside.,A group of people are sitting outdoors.,There's a group of people sitting outside.,,,,,,
A0205,2,contradiction,hypothesis,"Three dogs run on beach, two playing with unknown object.",Three dogs are swimming in the ocean.,"Three dogs run on beach, two playing with unknown object.",Three dogs swimming in the ocean.,Three dogs are swimming in the ocean.,Three dogs swimming in the ocean.,,,,,,
A0206,0,entailment,hypothesis,Old man is fixing overturned bike.,Man is fixing a bike.,Old man is fixing overturned bike.,The man is fixing a bike.,Man is fixing a bike.,The man is fixing a bike.,,,,,,
A0207,1,neutral,hypothesis,Men share an item on mini trains.,men at a mini train convention,Men share an item on mini trains.,men at a mini train conference,men at a mini train convention,men at a mini train conference,,,,,,
A0208,0,entailment,hypothesis,A young blond boy looking at a white robot on a green table.,A young blond person looking at a white robot on a green table.,A young blond boy looking at a white robot on a green table.,A young blonde looking at a white robot on a green table.,A young blond person looking at a white robot on a green table.,A young blonde looking at a white robot on a green table.,,,,,,
A0209,0,entailment,premise,"A woman holding a girl, who wears an apple themed coat.",Woman holds a girl wearing a coat.,"A woman holding a girl, wearing an apple-themed coat.",Woman holds a girl wearing a coat.,"A woman holding a girl, who wears an apple themed coat.","A woman holding a girl, wearing an apple-themed coat.",,,,,,
A0210,1,neutral,hypothesis,The men are talking to the person in the police van.,There is a criminal in the back of a police van.,The men are talking to the person in the police van.,There's a criminal in the back of a police van.,There is a criminal in the back of a police van.,There's a criminal in the back of a police van.,,,,,,
A0211,1,neutral,premise,A man wearing black and white stripes is trying to stop a horse.,A man is trying to keep the horse from running into the crowd.,A man in black and white stripes is trying to stop a horse.,A man is trying to keep the horse from running into the crowd.,A man wearing black and white stripes is trying to stop a horse.,A man in black and white stripes is trying to stop a horse.,,,,,,
A0212,2,contradiction,premise,A baby that is smiling big.,A kid is crying.,A baby who smiles big.,A kid is crying.,A baby that is smiling big.,A baby who smiles big.,,,,,,
A0213,1,neutral,hypothesis,A man walks on a fancy sidewalk next to an abandoned bar.,the man is going to meet a friend for drinks,A man walks on a fancy sidewalk next to an abandoned bar.,the man is going to meet a friend to drink,the man is going to meet a friend for drinks,the man is going to meet a friend to drink,,,,,,
A0214,1,neutral,hypothesis,A young girl expanding the time of childhood through colorful play.,The girl is painting with all the colours of the rainbow.,A young girl expanding the time of childhood through colorful play.,The girl paints with all the colors of the rainbow.,The girl is painting with all the colours of the rainbow.,The girl paints with all the colors of the rainbow.,,,,,,
