input_position,source_index,premise,hypothesis
336,227619,Two young men are leaping exuberantly on an outdoor plaza.,The two men have just been stuck in concrete boots and are drowning in the Hudson River.
337,229906,A dark-skinned security officer smiles.,A security officer is angry and scowling.
338,230044,A man with a guitar and a woman with a microphone perform.,They are performing in a club
339,230599,"Two men are kayaking, one in front of the other.",The people are sitting on the beach.
340,231324,A smiling woman with dark hair is sitting at a table.,A woman sits at a table.
341,232434,"Male figure wearing black, and surfing on a surfboard.",Male in black mugs a lady on the street.
342,232796,A guy and a girl having a conversation.,Two people talking.
343,232922,A person standing outside is using an umbrella in the heavy rain.,Someone is outside.
344,233399,Man swiftly riding a horse.,The man is riding the horse in a race.
345,233423,A gentleman in jeans and a black sweatshirt is excitedly speaking on a cellphone.,A man talking with his wife on the phone.
346,233782,A bunch of police officers are standing outside a bus.,The police officers are driving in a car.
347,233919,A man and a woman kissing while at a show.,A man is attracted to a woman.
348,233997,Blond child in red shirt standing on a plastic wreathed Christmas sleigh.,Child wearing nothing at all standing on a sleigh.
349,234990,The man in black shorts and a green shirt with the number 25 on the back is about to kick the soccer ball.,He is aiming at a goal.
350,235554,The man in a red shirt just got a rebound in a basketball game.,The man in the red shirt is playing well
351,236796,"Two dancers performing in the spotlight, on stage.",The dancers are performing in front of a large audience.
352,237247,Two boys are standing in a kitchen.,Two boys are inside a house inside a kitchen wearing pink aprons.
353,237389,A woman and a small child laying in bed.,two people are in bed
354,238210,A bearded man is wearing a redhead scarf and holding a forked green and white branch.,A man with facial hair is wearing a scarf.
355,238582,A boy jumps off of a structure into a pool.,He is wearing swim goggles.
356,238747,A man sitting on a metal fence overlooking the water and skyline.,A man sits on a fence to hide from the soldiers.
357,241686,A black and white dog is jumping into the water.,A dog is sleeping in the owner's backyard.
358,243896,A woman on a cellphone is sitting in a chair.,A woman on a phone is sitting in a chair.
359,244500,This gentleman just finished a refreshing swim.,A man is swimming in a pool.
360,246031,A blond woman in a gray dress crossing the street.,The woman is black.
361,248126,"one white little girl, riding on a brown and white saddle which is on top of brown adult horse with black hair, both outside on a sunny day.",The girl is on the horse.
362,249816,A young blond-haired boy is going down a red slide.,a mother shows her kid how to slide
363,250993,A man walks into a maroon building as a dog looks on.,A man walks into a building in front of a dog
364,251441,A sign on a store in and urban neighborhood.,A banna is nailed to the wall.
365,252089,"A woman sitting at a desk labeled Programmes and Ice Cream, the stand appears to be out of ice cream.","A female is sitting at a table with two labels, and item described in one of the labels is not at the table."
366,252148,A white female sitting behind a programmes and ice cream stand.,A woman waits for a friend behind a programmes and ice cream stand.
367,253837,A young man in a gray t-shirt and dark pants is mowing a lawn outside a white clapboard building.,there is a bee following the man
368,254588,A large group of people participate in a marathon along a city street.,One man stands alone on the city street
369,254814,A skateboarder performs a trick in front of a business building.,A skateboarder irritates business people by doing tricks downtown.
370,256030,Two men on a snowy and rocky mountainside cook a meal while their teammates sit a little way away.,The men are inside watching TV.
371,257881,A man on a bike is seen among a crowd of people at an outdoor event.,A large group of people are gathered outdoors.
372,258168,"Two men are swimming in a body of water, near which is an area of land covered in vegetation.",the men are divers
373,258343,A man working on the construction of a large boat.,A man working on a boat.
374,258358,A skateboarder flies through the air over the staircase of a sleek contemporary building.,lion sleeps
375,258365,A woman pushing a shopping cart at a grocery store.,A woman carrying her bags to the car
376,259128,A greyhound running on a track.,Dog running.
377,259206,"The two boys, in matching red shirts, fell asleep in the same position.",The two boys were fighting and throwing punches.
378,261673,A woman is walking by a building labeled Fisher's Popcorn.,A woman is walking by a popcorn stand
379,261954,"Two girls, one with brown hair and one with red, make toy cars.",Two girls make toys together.
380,262023,People sitting in a room talking to a panel.,The people are at a party.
381,263405,A woman is playing ice hockey.,A woman proving she can be a hockey player.
382,263526,A Caucasian male performing a water board trick in a lake with trees in the background.,A guy sitting down beside the water surrounded by trees.
383,264247,One lone skier is making his way down a snowy mountain slope which has many ski track marks visible on the snow pack and a ski lift in the background.,A man is outdoors.
384,264764,Two children are on a fairground ride.,children are at the fair
385,265354,Young Indian children in an old stone building watching an elephant who his touching one child on the head.,Young Indian children watched an elephant.
386,266636,People in snowy climate prepare to eat food on plates.,People in a snow covered area preparing to eat a meal.
387,268411,A man waits at a crosswalk holding a motorbike helmet.,A dog is wearing pants.
388,268796,Children playing on a merry-go-round on a chilly day.,Children are playing on a merry go
389,270886,A man standing by a building corner and reading a newspaper.,A man is standing by a building corner and reading a book.
390,271518,A group of white water rafters.,The group has been rafting all day.
391,271629,"A woman with red eyes and green makeup on her face, holds up a beige colored, ornately designed fan to cover her mouth.",A women hides her mouth behind the fan.
392,272383,A lacrosse player wearing a red uniform with the number 33 on the back looks skyward while a player in a green uniform with yellow trim is visible in the background.,A lacrosse player is catching a ball.
393,272751,Two young women have fallen asleep at a public eating area.,Sleeping women.
394,272787,"A young boy, arms and legs splayed wide, is leaping into the water on a rocky shoreline.",A young boy is spitting.
395,274036,"Woman in shorts and bikini top, yellow jacket, walking.",It is snowing.
396,276768,"Three men and one woman standing next to each other, all wearing aprons and pouring something into each others cups at the same time.","3 males and 1 female are standing vertical, next to each other wearing an apron and motioning of moving something inside a cup"
397,276879,"two kids, one with green pants and the other with a white shirt and jeans are running down a street.",There are children running after someone outside.
398,277346,A young male holding a fishing pole.,A man carries his fishing rod.
399,277522,An Indian man is writing on something in a crowd of women and children.,An Indian man is writing on something.
400,277576,A golfer wearing a striped red polo shirt and white pants watches his drive after swinging.,The golfer is preparing food for dinner.
401,277858,A guy sitting in a chair is getting a shave.,A guy is in a barbershop.
402,277982,A man with a black hat is standing and shading his eyes.,A man is standing.
403,278462,a boy swings on the swing.,A boy swings on the swing his mother built.
404,278595,A couple and child are watching people walk by.,The family is on the way to a movie.
405,278717,A woman playing tennis at a tennis game.,A woman trying to win the final match for the title.
406,279199,Several people on a stage with a blue background.,The humans are on the ground.
407,280193,"A child with a stethoscope, preparing to listen to his mother heart.",A child is listening to his mother's heart beat.
408,280508,Men are working on scaffolding outside of a building while other men watch.,Men are working indoors.
409,280977,A airline stewardess serving passengers on a plane.,The stewardess is a woman
410,281436,"A young boy, dressed in a karate gee and wearing a yellow belt, stands ready to defend himself inside a gym.",A young boy is ready to defend himself from a flying spaghetti monster.
411,282246,Four band members singing and playing.,They play a gig at a bar
412,282259,A woman in a black jacket is walking down the street with a red umbrella.,A fat woman in a black jacket is walking down the street with a red umbrella.
413,282686,Horrific artwork displayed at the local hipster bar.,Local hipster bar is ripped off when ordering artwork and displays it anyways.
414,282806,Two kids in a green tree.,The kids are above the ground.
415,284212,A man doing a trick on a bicycle in a wooded area.,A man does a trick
416,285462,A person in a dark wetsuit is surfing.,A person in a white wetsuit surfing
417,286692,"A woman wearing a white shirt and a short, black skirt is in motion on a green, artificial surface.",There is a dog playing catch.
418,287124,Two female rollerskaters competing.,The women are great skaters.
419,287246,Two people walk in opposite directions across a brick road.,The road was made with bricks.
420,290260,Children playing on the beach.,Kids were having fun.
421,290629,A man is standing next to a vehicle in a city setting.,Someone is standing by a car
422,290839,The man in the red shirt pretends to play the violin with an umbrella.,The man is wearing a red shirt.
423,291507,The young boy is jumping into the pool on his belly.,The people around the pool are afraid of getting wet after the belly flop is finished.
424,291984,A woman dressed in black boots and a black trench coat is walking down the middle of the street.,The woman walking down the street trips and falls.
425,292713,a young girl in a pick shirt swinging up in the air on a swing set,The girl is having fun on the playground at recess.
426,292795,Woman looking out the window at a man.,The woman is standing outdoors.
427,292908,A man in a black hat holds a small girl on his shoulders.,A man carries his son.
428,292986,Man in black and white playing tennis.,A man is inside eating dinner
429,293493,"A Frisbee team huddles around a Frisbee, each holding a part of it.",A frisbee team does a chant before their game in a circle.
430,293560,Two men in orange outfits clean up garbage spilled on the street.,Two men are cleaning up garbage that was spilled after a block party.
431,293833,A young girl with red-hair blows bubbles in clear water.,A red headed girl is making bubbles.
432,294178,"A basketball player in a white jersey with the word price on it, posting up against another player in a blue uniform.",a player dressed in white
433,294223,A photographer capturing a skateboarder mid trick.,No cameras are around when the skateboard performs his trick.
434,295019,three people standing in line.,Some people are standing.
435,295231,A restaurant in downtown Korea.,The restaurant in downtown Korea has Korean food.
436,295609,a beige dog running on the grass with a tennis ball in his mouth,Nobody is running
437,295641,A wedding party scene with the bride throwing the bouquet of flowers to onlooking women.,A bride throws the flowers to her sister.
438,297956,A man in a gray shirt is pouring a drink into a flute.,A woman in a gray shirt is pouring a drink into a flute.
439,298065,Three dogs are together outdoors checking out a fountain.,Animals by a fountain.
440,298894,A professional wrestler takes a flying leap onto another wrestler.,Pro wrestlers put on a show.
441,299161,A couple of boys are in a gym with partially assembled bicycles.,The boys are working on their bikes inside.
442,299206,Two people are carrying a large bag filled with a red substance down a ally as a figure in red walks behind them.,Three people are walking down the alley.
443,299336,A group of surgeons wearing scrubs are performing a surgery.,The group of surgeons are having a board meeting.
444,300966,Two people with hard hats on standing on a brick wall.,No one is wearing protective gear.
445,301270,A young woman wearing sunglasses and a blue shirt is holding a white sheet while a little girl in pigtails writes on it with a marker.,The little girl is coloring on a white sheet.
446,301629,A male surfer catching a nice wave.,A woman is surfing.
447,302107,Men share an item on mini trains.,men at a mini train convention
448,302885,A man wearing black and white stripes is trying to stop a horse.,A man is trying to keep the horse from running into the crowd.
449,303583,a lone skier walking cross a snowy bank with trees in the background,A person is out in the outdoors.
450,304578,A girl sits at a desk and reads a paper.,A boy sitting at his desk is reading a large book.
451,306358,An asian lady in a red jacket taking a photo,A tall human in a jacket.
452,307182,A lady pouring tea into tea cups with flower print on them.,a lady pouring wine for guests
453,307679,An older man in a white shirt is playing a saxaphone.,The man owns the saxophone.
454,308436,A group of people hold on to a long skinny object.,No one is holding on to an object
455,309108,A woman in a brown sweater is sewing on her machine.,The woman doesn't have a sewing machine.
456,309756,a couple looking at food out in the cold.,Two people are looking at food
457,310001,A bearded man with glasses does a toe-touch.,A man is moving.
458,310358,a woman is walking beside a subway.,The woman is in a rush.
459,310401,A man using a wheelchair is talking in a field to a couple women.,The man is sitting
460,310705,Two girls are astonished at the sight of planes.,The two girls have never seen planes before.
461,311121,A woman in shorts and a white top is taking a picture with a digital camera as a young man watches.,A woman in shorts and a white top is talking on her cellphone to a close friend.
462,311315,"A single man, riding his bike on the pier at sunset.",The man is riding his bike
463,311574,A woman preparing to serve a meal on the beach.,It is mealtime.
464,311616,"Two people, a man and a woman, are on a stage at a band.",They are in a band.
465,312572,A middle-aged man riding his black motorcycle through a neighborhood.,The man is headed home on his motorcycle.
466,313598,A scuba diving class taking a picture during class time.,Some people are taking ski lessons.
467,313693,"One of the buses is marked ""Linea Express"" while the other is marked ""Metropolitan Transit System"". ",Two buses
468,314343,"A group of people sit in folding chairs in a small area under two umbrellas outdoors, with a few cars parked in the background.",A group of people are sitting outdoors.
469,314877,A middle-aged man and woman are holding hands walking in a street with people behind them.,A middle-aged couple running down the bridge.
470,315586,"Two older women smiling and standing in front of large trees, one woman is fixing her hair.",The women are skateboarding down a busy street.
471,316194,Three children and three adults are outside in the yard of a home and they have a basket sitting on the lawn.,Three children and three adults have a basket.
472,316876,A young girl holds a crying infant.,A blonde girl holds her baby sister.
473,318353,Workers enjoy coffee and treats at conference table.,the workers are underpaid
474,319482,"Two boys are looking upwards with their arms streteched to the sky, the boy on the left is wearing a blue vest jacket with a gray long-sleeved shirt and black jogging pants, and black tennis shoes and a hat, and the boy on the right is wearing a silver vest jacket, with blue long-sleeved undershirt, gray pants, and black tennis shoes and has black short hair and glasses.",Two boys stretching for the sky
475,319797,A woman in a gray and blue shirt smiles as she unwraps and cuts into a calzone.,The woman is cutting into her arm.
476,321140,"A couple smiling, sitting at an event with other adults and children doing the same.",Adults and children get sleepy listening to a dull speaker at an event.
477,321435,A dog leaps to catch a ball in a field.,A dog caught a ball in a field but then dropped it.
478,322012,The lady is holding her glasses.,A lady is cleaning her glasses.
479,322299,A group of men playing and singing music while a crowd watches.,A boy band is performing a concert for a crowd.
480,322472,A big group of people are enjoying a public event.,People are enjoying a public event.
481,323424,Two hockey players one in yellow and one in white competing against each other to gain control of the hockey puck.,Two friends are playing basketball.
482,324702,The woman talks on her cellular phone while walking on a city street.,The streets are crowded.
483,325880,A man in a black shirt and blue jeans crawls on a table.,A man wearing a black shirt.
484,326312,A dog peeks out of a red play tunnel.,a dog playing
485,326894,People in orange shirts roll carts while people watch them.,A group of workers in matching oranage shirts push carts outside as others watch them.
486,327111,A child is holding an Aquafina water bottle.,The man has a beer.
487,327544,Two people are having a conversation as they sit at the bar.,They are going to Mars
488,327733,A little boy in red stands on top of a rock with a smile and outstretched arms.,A little boy in red is outdoors.
489,328469,A group of well-dressed young people stand in front of a congregation.,There are several people in the room.
490,330719,Small dog running through a field.,A cat is playing with yarn.
491,331133,A man in pants scaling the side of a cliff.,A woman climbs the side of a building.
492,331212,"A little girl in a red shirt is suspended in midair on a contraption, as a man wearing white shorts looks up at her.",A man and girl are swimming in the ocean
493,332168,A man is leaning his head on a fancy coffin in a church.,A man is leaning his head against a pulpit.
494,333591,"A female and a male put a long, oblong box away in an area full of boxes.",A couple remove a box from an area full of boxes.
495,334203,A girl with red-hair is jumping on a sand dune.,A girl is outdoors.
496,334987,"A man, woman, and two girls walk on the beach barefoot.",The group walks outside.
497,335668,A cloudy sky above a busy city street.,Cars are driving on clouds.
498,336330,"The woman carrying a backpack is facing the camera, while the man is turned away.",The woman has a backpack
499,336368,People are ice-skating and walking across a frozen surface with the Adobe building in the background.,The people are skating.
500,337152,A group of young men in colorful shirts with their number on them walk down a street.,They are camping out in the wilderness
501,337655,A boy in an orange shirt holds hands with an adult as he walks with a group of other children down a street.,Two runners in blue t-shirts hold hands.
502,338139,A mom and a young boy on a seesaw.,Some high school kids smoking cigarettes outside school.
503,338736,A black dog leaps in the air above the snow.,The dog has snow on his fur.
504,338834,A very excited man on top of a mountain jumping into the air.,A man is showing his excitement on the mountain.
505,338871,A snowboarder rides a snowboard down a railing beside a flight of steps.,A man is watching t.v. at home.
506,339401,Several people are in an enclosed garden space while a young Black boy and another person hold onto a wooden frame of a raised plant bed.,There is only one person present.
507,339454,"Ow, my head, you silly a-hole watch what you are doing next time.","Ow, you just punched me in the shoulder."
508,340397,A man in a white outfit sings into a microphone.,The man is wearing a green outfit.
509,340830,"Two individuals, in full fencing attire, with their masks on and the swords in their hands, fencing in the gym.","Two men, in full fencing attire, with their masks on and the swords in their hands, fencing in the gym."
510,341229,Two woman with white head coverings are gazing at a cellphone.,Two men with black head coverings are gazing at a cellphone.
511,341509,"Two men dressed in matching blue uniforms, celebrate a victory.",the men are are their house sleeping
512,341844,Several men traveling down a hill riding donkeys.,the men are at the restaurant eating
513,342089,Children stand around water pipes awaiting clean water.,The men broke the water pipes and are waiting for the repairman.
514,342956,"A male wearing a strange helmet covering face and head is seated on the accordion case in a street apparently blocked off, perhaps for a block party, while onlookers walk behind and listeners are seated in front in lawn chairs.",a boy in a head covering is next to a blocked road that's near a crowd of people sitting on chairs
515,343438,A large amount of people using sleeping bags to sleep in front of a building.,A large amount of people sleeping.
516,343889,A man catches a ball in front of a large crowd.,The football player caught the pass.
517,344181,A boy contorts his face while holding an electronic device.,A boy has a cell phone.
518,344451,A street performer smiles at two potential customers.,An upturned hat half filled with coins sits next to the street performer.
519,344802,Three Asian women having a conversation.,Three white men are talking to each other.
520,344964,A man in a white shirt is sitting on a curb and reading a newspaper.,The man is going up an escalator.
521,346374,"Two boys, one in a red and one in a white uniform, fight for control over the ball during a soccer match.",Two boys are playing basketball.
522,347590,A child is interacting with an electronics laboratory kit.,A child is bored and has no toys.
523,349312,A man in mid- air while going down a sand-dune.,The man is skiing in the snow.
524,349463,A dark-skinned woman with a scarf on her head smiling with telephones hanging from the trees.,She is climbing the tree to get a better reception.
525,349723,An older man in a blue hoodie is sitting down next to his bags.,A mann handing a cashier money.
526,350091,"Three girls dressed alike in plaid skirts and hats, green sweaters, and blue knee socks walk together.",The three girls are twins.
527,350537,"Two men kick in the air at each other on a grassy area, while another man watches them in the background.",The men are outdoors.
528,351322,"There are two men on a ladder one is at the top handing down to the other guy the number ""O"" as this what they do for a living.",Two men are at office desks.
529,351356,A black man in a white shirt is cooking on a commercial stove.,A man is preparing food on the commercial stove for the restaurant patrons.
530,351913,"With flowers in the foreground, a man in a blue striped shirt bikes past a large white building.",A man is biking outside.
531,352553,Two men are looking through the solar telescopes.,The men are trying to find Uranus.
532,352765,A fluffy dog looking at a yellow chew toy.,A dog is near a toy.
533,352989,A group of people near a fun house at a carnival.,A group of people near entrance at a carnival.
534,353921,Two men wearing dark pants and red shirts are leaping in-synch in front of a white building.,They crawl along
535,354675,A person sits outside at a table and rests their head in their hand.,A person is standing with the crowd at the festival concert.
536,355209,A girl dressed in black with a purse on her arm is smiling at a man in a room with lots of desserts on the table.,There is a girl dressed in light colored clothing frowning at a man.
537,355550,A man walks on a fancy sidewalk next to an abandoned bar.,the man is going to meet a friend for drinks
538,356013,Three women in old-fashioned clothing stand in the street with a dog.,Women are standing.
539,356717,A skier is by himself in the woods.,A person is outside.
540,357578,Small child in green shorts and green shirt squatting and looking at something.,The child is standing up.
541,358703,The woman in a green sweater and the man with a cap are on the side of the road.,A husband and wife next to a road.
542,358861,"The football players wear purple pants, gold helmets and white jerseys.",The people are racing cars.
543,359371,A group of men in hard hats traveling over the ocean in a small boat.,A group of men travel over an ocean.
544,359675,A man is taking a nap outdoors under the cover of a pink blanket.,A man is dead outdoors under the cover of a pink blanket.
545,360401,A policeman in sunglasses and uniform with other policemen.,Two police officers are watching a suspect from afar.
546,360709,Three school boys posing under a blue umbrella.,The umbrella is red.
547,361537,Young boy staring excitedly at a leaf.,The boy looks at the veins that run along the leaf.
548,361621,A woman wearing sunglasses and a black shirt is running on the beach.,A woman runs away from a lobster.
549,363227,a middle-aged man working on a dock.,A man is fixing a dock.
550,364369,A man and a woman are posing for a photo beside a rack of clothes.,A man and woman are sitting on a couch.
551,364429,A man and a woman are sitting on the grass together.,A man and a woman are in the park
552,366538,A woman in a hi-viz jacket is smiling at person carrying a stop sign in front of a crane.,A woman is smiling at someone.
553,366985,A curly-haired woman plays the violin.,A woman is playing a stringed instrument.
554,369066,A man is standing while playing the drums for an audience.,A man is playing the piano.
555,369396,A man is reading a newspaper at a Chinese food store.,A teenage girl is standing on the table.
556,369541,Five boy scouts performing on an indoor stage.,the boys are five
557,369982,two wrestlers fighting in a rink with a referee in the backgroud,Some wrestlers are wrestling in a backyard championship match.
558,371082,This is two black children dressed the same hugging.,Funny humans dressed
559,371632,A group of five people have picture taken while jumping in the air.,The people jump in the air when the picture is taken.
560,371860,"Brunette female wearing yellow bikini top, has large tattoo inked across her lower back, and a blue towel draped across her right shoulder.",A person in a black shirt and black shorts is holding a football.
561,372611,A brown dog carries a multiple colored toy in the grass.,A dog is carrying colored toys.
562,372919,A woman with curly brown hair looks at a menu.,The woman has decided on what she wants to eat.
563,373879,Adults and children are in a rooming dancing.,The clidren are watching a game
564,374215,Amish guy plays golf and walks,An Amish man enjoying some golf.
565,374596,A group of people sitting in white plastic chairs are having a picnic.,All arrived at the picnic on foot.
566,374679,A man leaning into a hole in the counter.,A man standing at the counter.
567,375404,An elderly man takes his dog for a walk near the water.,The elderly man is running with his dog.
568,375602,"A man is standing in a white room, with the lights turned down, holding a detailed lantern with another hanging nearby.",A man is praying while holding a latern.
569,376513,People walk down the busy sidewalk.,People happily walk down the sidewalk.
570,376867,A dog with a muzzle is leading several other dogs in a race,The muzzled dog is really having fun.
571,377799,Older gentleman putting a powdery substance in a swimming pool.,The gentleman is 10 years old.
572,377914,A woman in red is holding a microphone in front of a green background.,A woman in red holds a black kidney bean.
573,378043,A surfer in the distance is at the base of the wave close to the shore.,A man surfs the internet at home.
574,379691,People are watching a boy on a skateboard at the top of a skate ramp.,People are watching a girl on a skateboard at the top of a skate ramp.
575,381415,Two men in magenta costumes performing.,Two men are putting on a large show.
576,381818,Two men juggling in front of a group of people.,Two men juggling in fornt of group of people to attract them.
577,382061,There is a child wearing an orange shirt and hold an orange book.,There is a child wearing a shirt and holding a book.
578,383277,A man in a white shirt is playing a saxophone on a stage.,the guy in the white shirt is playing music on this sax that he is renting
579,383368,A man in an orange shirt and black cap is standing in front of a stage with several women dancing.,A man dancing with women on stage.
580,384316,A man and a woman are sleeping on a mode of public transportation.,Everyone is awake riding the bus.
581,385656,A man playing drums on upside down jugs.,The jugs the man is playing on are very big.
582,387067,"A woman is running on a gravel path, while another woman in a green shirt is cheering.",A woman in shorts is running.
583,388849,An elderly man with a beard in a dark suit is walking through a rainy city.,A young man is dancing in the streets on a sunny day.
584,389488,three children in a field with white flowers,Three people sit in the grass.
585,389577,A man in a nun costume has a cigarette in his mouth.,A person wear a costume.
586,390330,"A woman in a white shirt, with a red bandanna holding the end of a sign post.",A woman with a red shirt and a bandana is shopping at the mall.
587,393497,A chef in white clothes is putting something into a brick oven.,A chef in white clothes is putting a pizza into a brick oven.
588,394495,Men and women competing in a marathon.,The men and women are at the end of the marathon.
589,394608,A lady in a yellow shirt adjusts her sunglasses.,The lady is adjusting her hat.
590,394965,There is a man and a woman sitting on lawn chairs next to a skate park with a group of guys on bicycles in the background and a woman with a child in a stroller on the side of the picture.,A group of people outdoors.
591,396067,A girl wearing a blue shirt fixing her hair while looking into a pink mirror.,A girl with blonde hair in front of a mirror.
592,396269,A man tends to his laptop in what appears to be a slideshow of sorts.,A man runs a slideshow.
593,396554,"A child in a coat and hat is standing in a yellow doorway, and a woman in a coat and hat is standing outside, holding a cup.",The door is open.
594,397864,A young boy listens to music through headphones in front of a kitchen.,A young boy listens to rock music.
595,398189,"A person is standing at the top of a large, rolling sand dune.",She was stranded in the desert.
596,398883,A man and woman reenact a scene of a statue.,A man and woman eat at a restaurant.
597,399855,A girl blows into a large yellow balloon.,a girl has a balloon
598,400206,Two young girls have fun in an ice skating rink.,The girls are wearing tights.
599,400731,A group of children is performing a concert outside.,A group of children is performing outside.
600,400864,A person has just thrown a snowball and hit someone in the back.,A person was outside playing a threw something.
601,402508,Someone doing a jump on a dirt bike in the woods.,A person is jumping on the dirt bike.
602,403554,A man in checkered pants rides a unicycle down the street while juggling for a crowd.,A man in clown make-up performs stunts for a crowd.
603,403976,People are sitting at a park under flowering trees.,The people are standing in the desert.
604,404415,"A man taking a photograph, holding a postcard",There is a man holding a post card.
605,405381,"A child in a red jacket, sitting atop a slide.",A child is sliding down a waterslide
606,407270,A man standing next to a women's restroom in an orange shirt.,The man's wife is in the restroom.
607,407321,Several people are walking on a sidewalk while one person is laying down.,a person is laying down because he is having a heart attack
608,411654,"A group of people are sitting around a large white banner that says ""From New York.""",There is a group of people sitting around a large white banner.
609,412899,A child holding some shoes.,The child is tying the shoelaces on his shoes.
610,413131,A man in a white shirt is working on a laptop while another man in a black shirt points to something on the screen with a pen.,The men are coworkers.
611,413141,three young woman walking down a sidewalk looking up,Three young women walk outside.
612,415665,A girl with yellow sunglasses is laying on the ground with a girl wearing brown sunglasses.,sisters lay on the ground
613,416052,Man carries empty Coke bottles on his head across dirt road.,Man carries empty Coke bottles outside.
614,417237,"Several people sitting, relaxing in the snow.",The people are outdoors.
615,418334,A pedicab driving sitting on the side and waiting for his next customer.,The cab is waiting for a customer.
616,418639,"At a brick-floored area near the beach, a middle-aged white man surrounded by a white family is sitting and painting a portrait of someone.",A woman is drawing dogs at the beach.
617,420064,A police officer on a motorcycle talking to two men on a cobblestone street.,A motorbike cop interrogates two men on a street.
618,421310,"A person, whose face is blocked, is working on a large wooden loom.","A person, whose face is blocked, is working on a wooden loom."
619,422758,A man dressed in a green jacket is playing piano while a woman sings.,A man is burning a piano.
620,423126,A crane is hoisting someone up next to a building.,The crane is lifting up a car.
621,423518,A magician performs with a burning bar placed in his front on the floor while the crowd watches closely.,The magician burns himself.
622,424045,A man sits under an umbrella beside a pond while he works.,A woman is swimming in a pool.
623,424612,Two female bikers pose on a bridge as other riders travel by in a marathon.,"The two woman are repelling down a rock face, attempting to get to the bottom of the rock wall."
624,425301,Teenage girls in a dance recital.,The high school dance team put on a great show.
625,426181,Lady wearing spectacles points camera with some trepidation.,A lady is holding a camera.
626,426473,A little boy in a bright green field has kicked a soccer ball very high in the air.,A boy watches soccer on TV at his house.
627,426484,"A man resting in a blue hammock, boots and pack off, as he looks out over a flowing river.",A man is outside.
628,426839,Two women on the patio having drinks.,Two women have drinks on the deck.
629,427833,A little girl in a white jacket holding a piglet toy.,The little girl is caucasian.
630,428056,A construction worker in a neon vest is working with electrical equipment while sparks fly.,A construction worker is on his lunch break
631,429004,Two women observing a fountain in a park.,two women dig up their yard for a garden
632,430526,A skilled surfer rides a very large wave;,The surfer is sitting in the sand.
633,431648,"A young woman in a striped sweater, knitted hat and jeans and wearing a black winter coat is ice skating at a rink with several other young women.",The woman in the sweater was rollerblading.
634,431938,A woman talks on a cellphone on an Asian market street.,A woman is sleeping.
635,431953,A man and a woman are walking in a street.,a man and a woman walk down the street
636,432209,A woman in a brown flowered tank top dances with a puppet,A woman is sleeping on the street.
637,433659,A man riding a horse is chasing after a young cow with a lasso.,a lasso is being used on a pig
638,436878,A person does a trick on a skateboard.,Trick on skateborad by a young boy in a busy traffic
639,437702,A person swims in a pool by a waterfall.,A person is near the waterfall.
640,438773,"Man and woman looking surprised, with the man holding headphones.","They looked surprised, holding the headphones."
641,439665,"A man dressed in a red t-shirt and blue jeans eats food he's holding in his hand, as he walks along a busy sidewalk, with an antique-style sign advertising wedding rings on the right-hand side of the picture.",A man in a suit holds a briefcase as he walks along an empty sidewalk.
642,441211,Three dogs pull a sled during a race in the snow.,Four dogs are winning a sled race.
643,441240,four men looking at a large sign.,The men are watching sports.
644,441625,Three teenage boys sitting down talking and fixing their shoes.,Three schoolboys take time out from soccer practice to talk
645,441649,A small boy in a white shirt is jumping with a sword in his hand.,Boys holding sword
646,442027,A child in an orange t-shirt is riding a green bike beside a pathway.,A man wearing a red shirt riding a cow.
647,442332,A man in a gray t-shirt walks down a public street past a pair of tall office buildings.,A man is unable to walk.
648,442910,A person wearing a gray sweatshirt and tennis shoes is sitting on something.,A person dust lint off his suit.
649,443307,"In a tilted picture, two boys in a poor country run towards a doorway.",Two boys wearing blue run toward a doorway in a picture.
650,445694,A person riding a horse trying to rope a calf that is running from them.,A person is competing at a rodeo.
651,445900,Several men are tinkering with radio controlled items.,Some people are maneuvering radio controlled gadgets.
652,446052,A man on a white surfboard in the ocean riding the waves.,A surfer is standing on his board in the water.
653,447248,An Asian man makes calligraphy on a green table with newspaper on it.,A man is drawing.
654,448081,There is a husband and wife outside of a small shop taking pictures of a baby camel.,The baby camel is inside of the shop.
655,448093,"A security guard stands by a metal, lighted sculpture.",A person guards a sculpture.
656,448470,A man wearing a helmet has his hand up in the air and is shouting in a similar way the crowd behind his doing.,A man leads others in a chant.
657,448551,The bull is running with a yellow fence behind him.,A bull is running through an open field chasing a cow.
658,449726,Two young blond-haired children are laying in their sleeping bags.,Their hair is red.
659,450435,People ordering food from a lunch cart outside.,The lunch cart is mexican food.
660,450767,A young woman dances to the delight of a group of children.,A woman is holding 3 children.
661,450897,A chef is preparing some food.,In the kitchen the man washes dishes.
662,450940,A boy in a sports uniform chasing a soccer ball,A boy is playing.
663,452118,Two men play the guitar while on a boat.,Two men on a boat play their guitars together.
664,453097,A group of people are running a race.,The people are almost to the finish line.
665,455935,A man wearing orange reflective clothing and a red hard hat shovels watery mud next to a low cement wall.,The man is a repairman.
666,456117,Three women in a hospital.,the skateboard was black
667,456266,A guy lifts some heavy weights while an older man assists him.,A man helping another man bench press.
668,456761,"Three dogs run on beach, two playing with unknown object.",Three dogs are swimming in the ocean.
669,456772,Two large white dogs and one large tan dog in a red collar run along a beach.,Three dogs are lying in the grass in the shade.
